scholion URN 	 Critical Sign Present 	 grafei Present 	 initial hoti present 	 para Zenod present 	 Aristarchus or post-Aristarchan Name present 	 Topic 6 Score 	 Topic 9 Score
urn:cts:greekLit:tlg5026.msA.hmt:1.94.comment	true	false	false	false	true	"0.000790513833992095"	"0.000790513833992095"
urn:cts:greekLit:tlg5026.msA.hmt:1.95.comment	false	false	false	false	false	"0.00606060606060606"	"0.00606060606060606"
urn:cts:greekLit:tlg5026.msA.hmt:1.96.comment	false	false	false	false	false	"0.00317460317460317"	"0.00317460317460317"
urn:cts:greekLit:tlg5026.msA.hmt:1.97.comment	false	false	true	false	false	"0.00377358490566038"	"0.00377358490566038"
urn:cts:greekLit:tlg5026.msA.hmt:1.98.comment	false	false	true	false	false	"0.00273972602739726"	"0.00273972602739726"
urn:cts:greekLit:tlg5026.msA.hmt:1.99.comment	false	false	false	false	false	"0.0666666666666667"	"0.0666666666666667"
urn:cts:greekLit:tlg5026.msA.hmt:1.100.comment	false	false	false	false	false	"0.0021505376344086"	"0.0021505376344086"
urn:cts:greekLit:tlg5026.msA.hmt:1.101.comment	false	false	false	false	false	"0.00606060606060606"	"0.00606060606060606"
urn:cts:greekLit:tlg5026.msA.hmt:1.102.comment	true	false	false	false	false	"0.00176991150442478"	"0.444247787610619"
urn:cts:greekLit:tlg5026.msA.hmt:1.103.comment	true	false	false	false	false	"0.915151515151515"	"0.00606060606060606"
urn:cts:greekLit:tlg5026.msA.hmt:1.104.comment	false	false	false	false	false	"0.00109289617486339"	"0.32896174863388"
urn:cts:greekLit:tlg5026.msA.hmt:1.105.comment	false	false	false	false	false	"0.00240963855421687"	"0.00240963855421687"
urn:cts:greekLit:tlg5026.msA.hmt:1.106.comment	false	false	true	false	false	"0.0013986013986014"	"0.0013986013986014"
urn:cts:greekLit:tlg5026.msA.hmt:1.107.comment	false	false	false	false	false	"0.164227642276423"	"0.0016260162601626"
urn:cts:greekLit:tlg5026.msA.hmt:1.108.comment	true	true	true	false	false	"0.479365079365079"	"0.00317460317460317"
urn:cts:greekLit:tlg5026.msA.hmt:1.116.comment	true	false	false	false	false	"0.0016260162601626"	"0.0016260162601626"
urn:cts:greekLit:tlg5026.msA.hmt:1.117.comment	false	false	true	false	false	"0.0021505376344086"	"0.0021505376344086"
urn:cts:greekLit:tlg5026.msA.hmt:1.118.comment	false	false	true	false	false	"0.00317460317460317"	"0.00317460317460317"
urn:cts:greekLit:tlg5026.msA.hmt:1.119.comment	false	false	false	false	false	"0.00465116279069767"	"0.00465116279069767"
urn:cts:greekLit:tlg5026.msA.hmt:1.120.comment	false	false	false	false	false	"0.000472813238770686"	"0.000472813238770686"
urn:cts:greekLit:tlg5026.msA.hmt:1.121.comment	false	false	false	false	false	"0.00465116279069767"	"0.00465116279069767"
urn:cts:greekLit:tlg5026.msA.hmt:1.122.comment	false	false	false	false	true	"0.381132075471698"	"0.569811320754717"
urn:cts:greekLit:tlg5026.msA.hmt:1.123.comment	false	false	false	false	false	"0.00103626943005181"	"0.00103626943005181"
urn:cts:greekLit:tlg5026.msA.hmt:1.124.comment	true	false	false	false	false	"0.947169811320755"	"0.00377358490566038"
urn:cts:greekLit:tlg5026.msA.hmt:1.125.comment	false	false	false	false	false	"0.00465116279069767"	"0.00465116279069767"
urn:cts:greekLit:tlg5026.msA.hmt:1.126.comment	false	false	false	false	false	"0.00869565217391304"	"0.00869565217391304"
urn:cts:greekLit:tlg5026.msA.hmt:1.127.comment	false	false	false	false	false	"0.116763005780347"	"0.00115606936416185"
urn:cts:greekLit:tlg5026.msA.hmt:1.128.comment	false	false	false	false	true	"0.00240963855421687"	"0.00240963855421687"
urn:cts:greekLit:tlg5026.msA.hmt:1.129.comment	false	false	false	false	false	"0.000472813238770686"	"0.024113475177305"
urn:cts:greekLit:tlg5026.msA.hmt:1.130.comment	false	false	true	false	false	"0.778640776699029"	"0.00194174757281553"
urn:cts:greekLit:tlg5026.msA.hmt:1.131.comment	false	false	false	false	true	"0.345812807881773"	"0.000985221674876847"
urn:cts:greekLit:tlg5026.msA.hmt:1.132.comment	false	false	false	false	true	"0.00056657223796034"	"0.00056657223796034"
urn:cts:greekLit:tlg5026.msA.hmt:1.133.comment	false	false	false	false	true	"0.13972602739726"	"0.687671232876712"
urn:cts:greekLit:tlg5026.msA.hmt:1.134.comment	false	false	false	false	false	"0.00240963855421687"	"0.12289156626506"
urn:cts:greekLit:tlg5026.msA.hmt:1.411.comment	false	false	false	false	false	"0.000858369098712446"	"0.000858369098712446"
urn:cts:greekLit:tlg5026.msA.hmt:1.412.comment	false	false	false	false	false	"0.000397614314115308"	"0.139562624254473"
urn:cts:greekLit:tlg5026.msA.hmt:1.413.comment	false	false	false	false	true	"0.00176991150442478"	"0.00176991150442478"
urn:cts:greekLit:tlg5026.msA.hmt:1.414.comment	false	false	false	false	false	"0.00465116279069767"	"0.00465116279069767"
urn:cts:greekLit:tlg5026.msA.hmt:1.415.comment	false	false	false	false	false	"0.0666666666666667"	"0.0666666666666667"
urn:cts:greekLit:tlg5026.msA.hmt:1.416.comment	false	false	true	false	false	"0.00317460317460317"	"0.00317460317460317"
urn:cts:greekLit:tlg5026.msA.hmt:1.417.comment	false	true	true	false	true	"0.419867549668874"	"0.000441501103752759"
urn:cts:greekLit:tlg5026.msA.hmt:1.418.comment	false	false	false	false	true	"0.000508905852417303"	"0.000508905852417303"
urn:cts:greekLit:tlg5026.msA.hmt:1.419.comment	false	false	true	false	false	"0.00465116279069767"	"0.00465116279069767"
urn:cts:greekLit:tlg5026.msA.hmt:1.420.comment	false	false	false	false	false	"0.00317460317460317"	"0.00317460317460317"
urn:cts:greekLit:tlg5026.msA.hmt:1.421.comment	false	false	false	false	false	"0.947169811320755"	"0.00377358490566038"
urn:cts:greekLit:tlg5026.msA.hmt:1.422.comment	false	false	false	false	true	"0.00130718954248366"	"0.00130718954248366"
urn:cts:greekLit:tlg5026.msA.hmt:1.423.comment	false	false	true	false	false	"0.00273972602739726"	"0.00273972602739726"
urn:cts:greekLit:tlg5026.msA.hmt:1.424.comment	true	false	false	false	false	"0.604819277108434"	"0.00240963855421687"
urn:cts:greekLit:tlg5026.msA.hmt:1.425.comment	false	false	true	false	false	"0.824657534246575"	"0.00273972602739726"
urn:cts:greekLit:tlg5026.msA.hmt:1.426.comment	false	false	false	false	false	"0.00240963855421687"	"0.00240963855421687"
urn:cts:greekLit:tlg5026.msA.hmt:1.427.comment	true	false	false	false	false	"0.444247787610619"	"0.178761061946903"
urn:cts:greekLit:tlg5026.msA.hmt:1.428.comment	false	false	false	false	false	"0.000550964187327824"	"0.000550964187327824"
urn:cts:greekLit:tlg5026.msA.hmt:1.477.comment	false	false	false	false	false	"0.00273972602739726"	"0.00273972602739726"
urn:cts:greekLit:tlg5026.msA.hmt:1.478.comment	false	false	false	false	false	"0.00068259385665529"	"0.00068259385665529"
urn:cts:greekLit:tlg5026.msA.hmt:1.479.comment	false	false	false	false	true	"0.00176991150442478"	"0.00176991150442478"
urn:cts:greekLit:tlg5026.msA.hmt:1.480.comment	false	true	true	false	false	"0.584466019417476"	"0.00194174757281553"
urn:cts:greekLit:tlg5026.msA.hmt:1.481.comment	false	false	false	false	false	"0.00109289617486339"	"0.00109289617486339"
urn:cts:greekLit:tlg5026.msA.hmt:1.482.comment	false	false	false	false	false	"0.00317460317460317"	"0.00317460317460317"
urn:cts:greekLit:tlg5026.msA.hmt:1.483.comment	false	false	true	false	false	"0.00273972602739726"	"0.00273972602739726"
urn:cts:greekLit:tlg5026.msA.hmt:1.484.comment	false	false	false	false	false	"0.0021505376344086"	"0.0021505376344086"
urn:cts:greekLit:tlg5026.msA.hmt:1.485.comment	false	false	true	false	false	"0.00273972602739726"	"0.00273972602739726"
urn:cts:greekLit:tlg5026.msA.hmt:1.486.comment	false	true	false	false	true	"0.00130718954248366"	"0.328104575163399"
urn:cts:greekLit:tlg5026.msA.hmt:1.487.comment	false	false	false	false	false	"0.12289156626506"	"0.00240963855421687"
urn:cts:greekLit:tlg5026.msA.hmt:1.488.comment	false	false	false	false	false	"0.00606060606060606"	"0.00606060606060606"
urn:cts:greekLit:tlg5026.msA.hmt:1.489.comment	false	false	false	false	false	"0.0016260162601626"	"0.0016260162601626"
urn:cts:greekLit:tlg5026.msA.hmt:1.490.comment	false	false	false	false	false	"0.00465116279069767"	"0.00465116279069767"
urn:cts:greekLit:tlg5026.msA.hmt:1.491.comment	false	false	false	false	false	"0.0016260162601626"	"0.0016260162601626"
urn:cts:greekLit:tlg5026.msA.hmt:1.492.comment	false	false	false	false	false	"0.0153846153846154"	"0.0153846153846154"
urn:cts:greekLit:tlg5026.msA.hmt:1.493.comment	false	false	false	false	false	"0.00465116279069767"	"0.00465116279069767"
urn:cts:greekLit:tlg5026.msA.hmt:1.494.comment	false	false	false	false	false	"0.0013986013986014"	"0.0013986013986014"
urn:cts:greekLit:tlg5026.msA.hmt:1.495.comment	true	false	false	false	false	"0.00194174757281553"	"0.00194174757281553"
urn:cts:greekLit:tlg5026.msA.hmt:1.496.comment	true	false	false	false	false	"0.00194174757281553"	"0.00194174757281553"
urn:cts:greekLit:tlg5026.msA.hmt:1.550.comment	false	false	false	false	false	"0.00176991150442478"	"0.00176991150442478"
urn:cts:greekLit:tlg5026.msA.hmt:1.551.comment	false	false	false	false	false	"0.00115606936416185"	"0.00115606936416185"
urn:cts:greekLit:tlg5026.msA.hmt:1.552.comment	false	false	false	false	false	"0.000375234521575985"	"0.000375234521575985"
urn:cts:greekLit:tlg5026.msA.hmt:1.553.comment	false	false	false	false	false	"0.00273972602739726"	"0.00273972602739726"
urn:cts:greekLit:tlg5026.msA.hmt:1.554.comment	false	false	false	false	false	"0.0021505376344086"	"0.0021505376344086"
urn:cts:greekLit:tlg5026.msA.hmt:1.555.comment	true	false	true	false	false	"0.281118881118881"	"0.0013986013986014"
urn:cts:greekLit:tlg5026.msA.hmt:1.556.comment	true	false	false	false	false	"0.00176991150442478"	"0.00176991150442478"
