urn:cts:mid:catullus.80:1	Quid dicam, Gelli, quare rosea ista labella
urn:cts:mid:catullus.80:2	     hiberna fiant candidiora nive,
urn:cts:mid:catullus.80:3	mane domo cum exis et cum te octava quiete
urn:cts:mid:catullus.80:4	     e molli longo suscitat hora die?
urn:cts:mid:catullus.80:5	nescio quid certe est: an vere fama susurrat
urn:cts:mid:catullus.80:6	     grandia te medii tenta vorare viri?
urn:cts:mid:catullus.80:7	sic certe est: clamant Victoris rupta miselli
urn:cts:mid:catullus.80:8	     ilia, et emulso labra notata sero.
