urn:cts:mid:catullus.44:1	O Funde noster seu Sabine seu Tiburs
urn:cts:mid:catullus.44:2	(nam te esse Tiburtem autumant, quibus non est
urn:cts:mid:catullus.44:3	cordi Catullum laedere; at quibus cordi est,
urn:cts:mid:catullus.44:4	quovis Sabinum pignore esse contendunt),
urn:cts:mid:catullus.44:5	sed seu Sabine sive verius Tiburs,
urn:cts:mid:catullus.44:6	fui libenter in tua suburbana
urn:cts:mid:catullus.44:7	villa, malamque pectore expuli tussim,
urn:cts:mid:catullus.44:8	non inmerenti quam mihi meus venter,
urn:cts:mid:catullus.44:9	dum sumptuosas appeto, dedit, cenas.
urn:cts:mid:catullus.44:10	nam, Sestianus dum volo esse conviva,
urn:cts:mid:catullus.44:11	orationem in Antium petitorem
urn:cts:mid:catullus.44:12	plenam veneni et pestilentiae legi.
urn:cts:mid:catullus.44:13	hic me gravedo frigida et frequens tussis
urn:cts:mid:catullus.44:14	quassavit usque, dum in tuum sinum fugi,
urn:cts:mid:catullus.44:15	et me recuravi otioque et urtica.
urn:cts:mid:catullus.44:16	quare refectus maximas tibi grates
urn:cts:mid:catullus.44:17	ago, meum quod non es ulta peccatum.
urn:cts:mid:catullus.44:18	nec deprecor iam, si nefaria scripta
urn:cts:mid:catullus.44:19	Sesti recepso, quin gravedinem et tussim
urn:cts:mid:catullus.44:20	non mihi, sed ipsi Sestio ferat frigus,
urn:cts:mid:catullus.44:21	qui tunc vocat me, cum malum librum legi.
