urn:cts:mid:catullus.24:1	O qui flosculus es Iuventiorum,
urn:cts:mid:catullus.24:2	non horum modo, sed quot aut fuerunt
urn:cts:mid:catullus.24:3	aut posthac aliis erunt in annis,
urn:cts:mid:catullus.24:4	mallem divitias Midae dedisses
urn:cts:mid:catullus.24:5	isti, cui neque servus est neque arca,
urn:cts:mid:catullus.24:6	quam sic te sineres ab illo amari.
urn:cts:mid:catullus.24:7	'qui? non est homo bellus?' inquies. est:
urn:cts:mid:catullus.24:8	sed bello huic neque servus est neque arca.
urn:cts:mid:catullus.24:9	hoc tu quam lubet abice elevaque:
urn:cts:mid:catullus.24:10	nec servum tamen ille habet neque arcam.
