urn:cts:mid:catullus.76:1	Siqua recordanti benefacta priora voluptas
urn:cts:mid:catullus.76:2	     est homini, cum se cogitat esse pium,
urn:cts:mid:catullus.76:3	nec sanctam violasse fidem, nec foedere nullo
urn:cts:mid:catullus.76:4	     divum ad fallendos numine abusum homines,
urn:cts:mid:catullus.76:5	multa parata manent in longa aetate, Catulle,
urn:cts:mid:catullus.76:6	     ex hoc ingrato gaudia amore tibi.
urn:cts:mid:catullus.76:7	nam quaecumque homines bene cuiquam aut dicere possunt
urn:cts:mid:catullus.76:8	     aut facere, haec a te dictaque factaque sunt.
urn:cts:mid:catullus.76:9	omnia quae ingratae perierunt credita menti.
urn:cts:mid:catullus.76:10	     quare iam te cur amplius excrucies?
urn:cts:mid:catullus.76:11	quin tu animo offirmas atque istinc teque reducis,
urn:cts:mid:catullus.76:12	     et dis invitis desinis esse miser?
urn:cts:mid:catullus.76:13	difficile est longum subito deponere amorem,
urn:cts:mid:catullus.76:14	     difficile est, verum hoc qua lubet efficias:
urn:cts:mid:catullus.76:15	una salus haec est. hoc est tibi pervincendum,
urn:cts:mid:catullus.76:16	     hoc facias, sive id non pote sive pote.
urn:cts:mid:catullus.76:17	o di, si vestrum est misereri, aut si quibus umquam
urn:cts:mid:catullus.76:18	     extremam iam ipsa in morte tulistis opem,
urn:cts:mid:catullus.76:19	me miserum aspicite et, si vitam puriter egi,
urn:cts:mid:catullus.76:20	     eripite hanc pestem perniciemque mihi,
urn:cts:mid:catullus.76:21	quae mihi subrepens imos ut torpor in artus
urn:cts:mid:catullus.76:22	     expulit ex omni pectore laetitias.
urn:cts:mid:catullus.76:23	non iam illud quaero, contra me ut diligat illa,
urn:cts:mid:catullus.76:24	     aut, quod non potis est, esse pudica velit:
urn:cts:mid:catullus.76:25	ipse valere opto et taetrum hunc deponere morbum.
urn:cts:mid:catullus.76:26	     o di, reddite mi hoc pro pietate mea.
