urn:cts:mid:catullus.110:1	Aufilena, bonae semper laudantur amicae:
urn:cts:mid:catullus.110:2	     accipiunt pretium, quae facere instituunt.
urn:cts:mid:catullus.110:3	tu, quod promisti, mihi quod mentita inimica es,
urn:cts:mid:catullus.110:4	     quod nec das et fers saepe, facis facinus.
urn:cts:mid:catullus.110:5	aut facere ingenuae est, aut non promisse pudicae,
urn:cts:mid:catullus.110:6	     Aufillena, fuit: sed data corripere
urn:cts:mid:catullus.110:7	fraudando officiis, plus quam meretricis avarae
urn:cts:mid:catullus.110:8	     quae sese toto corpore prostituit.
