urn:cts:mid:catullus.66:1	Omnia qui magni dispexit lumina mundi,
urn:cts:mid:catullus.66:2	     qui stellarum ortus comperit atque obitus,
urn:cts:mid:catullus.66:3	flammeus ut rapidi solis nitor obscuretur,
urn:cts:mid:catullus.66:4	     ut cedant certis sidera temporibus,
urn:cts:mid:catullus.66:5	ut Triviam furtim sub Latmia saxa relegans
urn:cts:mid:catullus.66:6	     dulcis amor gyro devocet aereo:
urn:cts:mid:catullus.66:7	idem me ille Conon caelesti in limine vidit
urn:cts:mid:catullus.66:8	     e Beroniceo vertice caesariem
urn:cts:mid:catullus.66:9	fulgentem clare, quam multis illa dearum
urn:cts:mid:catullus.66:10	     levia protendens brachia pollicita est,
urn:cts:mid:catullus.66:11	qua rex tempestate novo auctus hymenaeo
urn:cts:mid:catullus.66:12	     vastatum finis iuerat Assyrios,
urn:cts:mid:catullus.66:13	dulcia nocturnae portans vestigia rixae,
urn:cts:mid:catullus.66:14	     quam de virgineis gesserat exuviis.
urn:cts:mid:catullus.66:15	estne novis nuptis odio Venus? anne parentum
urn:cts:mid:catullus.66:16	     frustrantur falsis gaudia lacrimulis,
urn:cts:mid:catullus.66:17	ubertim thalami quas intra limina fundunt?
urn:cts:mid:catullus.66:18	     non, ita me divi, vera gemunt, iuerint.
urn:cts:mid:catullus.66:19	id mea me multis docuit regina querellis
urn:cts:mid:catullus.66:20	     invisente novo proelia torva viro.
urn:cts:mid:catullus.66:21	et tu non orbum luxti deserta cubile,
urn:cts:mid:catullus.66:22	     sed fratris cari flebile discidium?
urn:cts:mid:catullus.66:23	quam penitus maestas exedit cura medullas!
urn:cts:mid:catullus.66:24	     ut tibi tunc toto pectore sollicitae
urn:cts:mid:catullus.66:25	sensibus ereptis mens excidit! at ego certe
urn:cts:mid:catullus.66:26	     cognoram a parva virgine magnanimam.
urn:cts:mid:catullus.66:27	anne bonum oblita es facinus, quo regium adepta es
urn:cts:mid:catullus.66:28	     coniugium, quod non fortior ausit alis?
urn:cts:mid:catullus.66:29	sed tum maesta virum mittens quae verba locuta est!
urn:cts:mid:catullus.66:30	     Iuppiter, ut tristi lumina saepe manu!
urn:cts:mid:catullus.66:31	quis te mutavit tantus deus? an quod amantes
urn:cts:mid:catullus.66:32	     non longe a caro corpore abesse volunt?
urn:cts:mid:catullus.66:33	atque ibi me cunctis pro dulci coniuge divis
urn:cts:mid:catullus.66:34	     non sine taurino sanguine pollicita es,
urn:cts:mid:catullus.66:35	si reditum tetulisset. is haut in tempore longo
urn:cts:mid:catullus.66:36	     captam Asiam Aegypti finibus addiderat.
urn:cts:mid:catullus.66:37	quis ego pro factis caelesti reddita coetu
urn:cts:mid:catullus.66:38	     pristina vota novo munere dissolvo.
urn:cts:mid:catullus.66:39	invita, o regina, tuo de vertice cessi,
urn:cts:mid:catullus.66:40	     invita: adiuro teque tuumque caput,
urn:cts:mid:catullus.66:41	digna ferat quod si quis inaniter adiurarit:
urn:cts:mid:catullus.66:42	     sed qui se ferro postulet esse parem?
urn:cts:mid:catullus.66:43	ille quoque eversus mons est, quem maximum in oris
urn:cts:mid:catullus.66:44	     progenies Thiae clara supervehitur,
urn:cts:mid:catullus.66:45	cum Medi peperere novum mare, cumque iuventus
urn:cts:mid:catullus.66:46	     per medium classi barbara navit Athon.
urn:cts:mid:catullus.66:47	quid facient crines, cum ferro talia cedant?
urn:cts:mid:catullus.66:48	     Iuppiter, ut Chalybon omne genus pereat,
urn:cts:mid:catullus.66:49	et qui principio sub terra quaerere venas
urn:cts:mid:catullus.66:50	     institit ac ferri stringere duritiem!
urn:cts:mid:catullus.66:51	abiunctae paulo ante comae mea fata sorores
urn:cts:mid:catullus.66:52	     lugebant, cum se Memnonis Aethiopis
urn:cts:mid:catullus.66:53	unigena impellens nutantibus aera pennis
urn:cts:mid:catullus.66:54	     obtulit Arsinoes Locridis ales equos,
urn:cts:mid:catullus.66:55	isque per aetherias me tollens avolat umbras
urn:cts:mid:catullus.66:56	     et Veneris casto collocat in gremio.
urn:cts:mid:catullus.66:57	ipsa suum Zephyritis eo famulum legarat
urn:cts:mid:catullus.66:58	     Graiia Canopitis incola litoribus.
urn:cts:mid:catullus.66:59	hi dii ven ibi vario ne solum in lumine caeli
urn:cts:mid:catullus.66:60	     ex Ariadnaeis aurea temporibus
urn:cts:mid:catullus.66:61	fixa corona foret, sed nos quoque fulgeremus
urn:cts:mid:catullus.66:62	     deuotae flavi verticis exuviae,
urn:cts:mid:catullus.66:63	vuidulam a fluctu cedentem ad templa deum me
urn:cts:mid:catullus.66:64	     sidus in antiquis diva novum posuit.
urn:cts:mid:catullus.66:65	Virginis et saevi contingens namque Leonis
urn:cts:mid:catullus.66:66	     lumina, Callisto iuncta Lycaoniae,
urn:cts:mid:catullus.66:67	vertor in occasum, tardum dux ante Booten,
urn:cts:mid:catullus.66:68	     qui vix sero alto mergitur Oceano.
urn:cts:mid:catullus.66:69	sed quamquam me nocte premunt vestigia divum,
urn:cts:mid:catullus.66:70	     lux autem canae Tethyi restituit
urn:cts:mid:catullus.66:71	(pace tua fari hic liceat, Ramnusia virgo,
urn:cts:mid:catullus.66:72	     namque ego non ullo vera timore tegam,
urn:cts:mid:catullus.66:73	nec si me infestis discerpent sidera dictis,
urn:cts:mid:catullus.66:74	     condita quin veri pectoris evoluam),
urn:cts:mid:catullus.66:75	non his tam laetor rebus, quam me afore semper,
urn:cts:mid:catullus.66:76	     afore me a dominae vertice discrucior,
urn:cts:mid:catullus.66:77	quicum ego, dum virgo quondam fuit omnibus expers
urn:cts:mid:catullus.66:78	     unguentis, una milia multa bibi.
urn:cts:mid:catullus.66:79	nunc vos, optato quas iunxit lumine taeda,
urn:cts:mid:catullus.66:80	     non prius unanimis corpora coniugibus
urn:cts:mid:catullus.66:81	tradite nudantes reiecta veste papillas,
urn:cts:mid:catullus.66:82	     quam iucunda mihi munera libet onyx,
urn:cts:mid:catullus.66:83	vester onyx, casto colitis quae iura cubili.
urn:cts:mid:catullus.66:84	     sed quae se impuro dedit adulterio,
urn:cts:mid:catullus.66:85	illius a mala dona levis bibat irrita pulvis:
urn:cts:mid:catullus.66:86	     namque ego ab indignis praemia nulla peto.
urn:cts:mid:catullus.66:87	sed magis, o nuptae, semper concordia vestras,
urn:cts:mid:catullus.66:88	     semper amor sedes incolat assiduus.
urn:cts:mid:catullus.66:89	tu vero, regina, tuens cum sidera divam
urn:cts:mid:catullus.66:90	     placabis festis luminibus Venerem,
urn:cts:mid:catullus.66:91	unguinis expertem non siris esse tuam me,
urn:cts:mid:catullus.66:92	     sed potius largis affice muneribus.
urn:cts:mid:catullus.66:93	sidera corruerint utinam! coma regia fiam,
urn:cts:mid:catullus.66:94	     proximus Hydrochoi fulgeret Oarion!
