urn:cts:mid:catullus.023:1	Furi cui neque servus est neque arca
urn:cts:mid:catullus.023:2	nec cimex neque araneus neque ignis,
urn:cts:mid:catullus.023:3	verum est et pater et noverca, quorum
urn:cts:mid:catullus.023:4	dentes vel silicem comesse possunt,
urn:cts:mid:catullus.023:5	est pulcre tibi cum tuo parente
urn:cts:mid:catullus.023:6	et cum coniuge lignea parentis.
urn:cts:mid:catullus.023:7	nec mirum: bene nam valetis omnes,
urn:cts:mid:catullus.023:8	pulcre concoquitis, nihil timetis,
urn:cts:mid:catullus.023:9	non incendia, non graves rvinas,
urn:cts:mid:catullus.023:10	non facta impia, non dolos veneni,
urn:cts:mid:catullus.023:11	non casus alios periculorum.
urn:cts:mid:catullus.023:12	atque corpora sicciora cornu
urn:cts:mid:catullus.023:13	aut siquid magis aridum est habetis
urn:cts:mid:catullus.023:14	sole et frigore et esuritione.
urn:cts:mid:catullus.023:15	quare non tibi sit bene ac beate?
urn:cts:mid:catullus.023:16	a te sudor abest, abest saliva,
urn:cts:mid:catullus.023:17	mucusque et mala pituita nasi.
urn:cts:mid:catullus.023:18	hanc ad munditiem adde mundiorem,
urn:cts:mid:catullus.023:19	quod culus tibi purior salillo est,
urn:cts:mid:catullus.023:20	nec toto decies cacas in anno;
urn:cts:mid:catullus.023:21	atque id durius est faba et lapillis.
urn:cts:mid:catullus.023:22	quod tu si manibus teras fricesque,
urn:cts:mid:catullus.023:23	non umquam digitum inquinare posses
urn:cts:mid:catullus.023:24	haec tu commoda tam beata, Furi,
urn:cts:mid:catullus.023:25	noli spernere nec putare parvi,
urn:cts:mid:catullus.023:26	et sestertia quae soles precari
urn:cts:mid:catullus.023:27	centum desine: nam sat es beatus.
