urn:cts:mid:catullus.004:1	Phaselus ille, quem videtis, hospites,
urn:cts:mid:catullus.004:2	ait fuisse navium celerrimus,
urn:cts:mid:catullus.004:3	neque ullius natantis impetum trabis
urn:cts:mid:catullus.004:4	nequisse praeterire, sive palmulis
urn:cts:mid:catullus.004:5	opus foret volare sive linteo.
urn:cts:mid:catullus.004:6	et hoc negat minacis Hadriatici
urn:cts:mid:catullus.004:7	negare litus insulasve Cycladas
urn:cts:mid:catullus.004:8	Rhodumque nobilem horridamque Thraciam
urn:cts:mid:catullus.004:9	Propontida trucemve Ponticum sinum,
urn:cts:mid:catullus.004:10	ubi iste post phaselus antea fuit
urn:cts:mid:catullus.004:11	comata silva; nam Cytorio in iugo
urn:cts:mid:catullus.004:12	loquente saepe sibilum edidit coma.
urn:cts:mid:catullus.004:13	Amastri Pontica et Cytore buxifer,
urn:cts:mid:catullus.004:14	tibi haec fuisse et esse cognitissima
urn:cts:mid:catullus.004:15	ait phaselus: ultima ex origine
urn:cts:mid:catullus.004:16	tuo stetisse dicit in cacumine,
urn:cts:mid:catullus.004:17	tuo imbuisse palmulas in aequore,
urn:cts:mid:catullus.004:18	et inde tot per impotentia freta
urn:cts:mid:catullus.004:19	erum tulisse, laeva sive dextera
urn:cts:mid:catullus.004:20	vocaret aura, sive utrumque Iuppiter
urn:cts:mid:catullus.004:21	simul secundus incidisset in pedem;
urn:cts:mid:catullus.004:22	neque ulla vota litoralibus deis
urn:cts:mid:catullus.004:23	sibi esse facta, cum veniret a mari
urn:cts:mid:catullus.004:24	novissimo hunc ad usque limpidum lacum.
urn:cts:mid:catullus.004:25	sed haec prius fuere: nunc recondita
urn:cts:mid:catullus.004:26	senet quiete seque dedicat tibi,
urn:cts:mid:catullus.004:27	gemelle Castor et gemelle Castoris.
