urn:cts:mid:catullus.95:1	Zmyrna mei Cinnae nonam post denique messem
urn:cts:mid:catullus.95:2	     quam coepta est nonamque edita post hiemem,
urn:cts:mid:catullus.95:3	milia cum interea quingenta Hortensius uno
urn:cts:mid:catullus.95:4	     * * * * * * * * 
urn:cts:mid:catullus.95:5	Zmyrna cavas Satrachi penitus mittetur ad undas,
urn:cts:mid:catullus.95:6	     Zmyrnam cana diu saecula pervoluent.
urn:cts:mid:catullus.95:7	at Volusi annales Paduam morientur ad ipsam
urn:cts:mid:catullus.95:8	     et laxas scombris saepe dabunt tunicas.
