urn:cts:mid:catullus.022:1	Suffenus iste, Vare, quem probe nosti,
urn:cts:mid:catullus.022:2	homo est venustus et dicax et urbanus,
urn:cts:mid:catullus.022:3	idemque longe plurimos facit versus.
urn:cts:mid:catullus.022:4	puto esse ego illi milia aut decem aut plura
urn:cts:mid:catullus.022:5	perscripta, nec sic ut fit in palimpsesto
urn:cts:mid:catullus.022:6	relata: cartae regiae, novi libri,
urn:cts:mid:catullus.022:7	novi umbilici, lora rubra membranae,
urn:cts:mid:catullus.022:8	derecta plumbo et pumice omnia aequata.
urn:cts:mid:catullus.022:9	haec cum legas tu, bellus ille et urbanus
urn:cts:mid:catullus.022:10	Suffenus unus caprimulgus aut fossor
urn:cts:mid:catullus.022:11	rursus videtur: tantum abhorret ac mutat.
urn:cts:mid:catullus.022:12	hoc quid putemus esse? qui modo scurra
urn:cts:mid:catullus.022:13	aut si quid hac re scitius videbatur,
urn:cts:mid:catullus.022:14	idem infaceto est infacetior rure,
urn:cts:mid:catullus.022:15	simul poemata attigit, neque idem umquam
urn:cts:mid:catullus.022:16	aeque est beatus ac poema cum scribit:
urn:cts:mid:catullus.022:17	tam gaudet in se tamque se ipse miratur.
urn:cts:mid:catullus.022:18	nimirum idem omnes fallimur, neque est quisquam
urn:cts:mid:catullus.022:19	quem non in aliqua re videre Suffenum
urn:cts:mid:catullus.022:20	possis. suus cuique attributus est error;
urn:cts:mid:catullus.022:21	sed non videmus manticae quod in tergo est.
