urn:cts:mid:catullus.69:1	Noli admirari, quare tibi femina nulla,
urn:cts:mid:catullus.69:2	     Rufe, velit tenerum supposuisse femur,
urn:cts:mid:catullus.69:3	non si illam rarae labefactes munere vestis
urn:cts:mid:catullus.69:4	     aut perluciduli deliciis lapidis.
urn:cts:mid:catullus.69:5	laedit te quaedam mala fabula, qua tibi fertur
urn:cts:mid:catullus.69:6	     ualle sub alarum trux habitare caper.
urn:cts:mid:catullus.69:7	hunc metuunt omnes, neque mirum: nam mala valde est
urn:cts:mid:catullus.69:8	     bestia, nec quicum bella puella cubet.
urn:cts:mid:catullus.69:9	quare aut crudelem nasorum interfice pestem,
urn:cts:mid:catullus.69:10	     aut admirari desine cur fugiunt.
