urn:cts:mid:catullus.002:1	Passer, deliciae meae puellae,
urn:cts:mid:catullus.002:2	quicum ludere, quem in sinu tenere,
urn:cts:mid:catullus.002:3	cui primum digitum dare appetenti
urn:cts:mid:catullus.002:4	et acris solet incitare morsus,
urn:cts:mid:catullus.002:5	cum desiderio meo nitenti
urn:cts:mid:catullus.002:6	carum nescio quid lubet iocari
urn:cts:mid:catullus.002:7	et solaciolum sui doloris,
urn:cts:mid:catullus.002:8	credo ut tum gravis acquiescat ardor:
urn:cts:mid:catullus.002:9	tecum ludere sicut ipsa possem
urn:cts:mid:catullus.002:10	et tristis animi levare curas!
