urn:cts:mid:catullus.14:1	Ni te plus oculis meis amarem,
urn:cts:mid:catullus.14:2	iucundissime Calve, munere isto
urn:cts:mid:catullus.14:3	odissem te odio Vatiniano:
urn:cts:mid:catullus.14:4	nam quid feci ego quidve sum locutus,
urn:cts:mid:catullus.14:5	cur me tot male perderes poetis?
urn:cts:mid:catullus.14:6	isti di mala multa dent clienti,
urn:cts:mid:catullus.14:7	qui tantum tibi misit impiorum.
urn:cts:mid:catullus.14:8	quod si, ut suspicor, hoc novum ac repertum
urn:cts:mid:catullus.14:9	munus dat tibi Sulla litterator,
urn:cts:mid:catullus.14:10	non est mi male, sed bene ac beate,
urn:cts:mid:catullus.14:11	quod non dispereunt tui labores.
urn:cts:mid:catullus.14:12	di magni, horribilem et sacrum libellum!
urn:cts:mid:catullus.14:13	quem tu scilicet ad tuum Catullum
urn:cts:mid:catullus.14:14	misti, continuo ut die periret,
urn:cts:mid:catullus.14:15	Saturnalibus, optimo dierum!
urn:cts:mid:catullus.14:16	non non hoc tibi, false, sic abibit.
urn:cts:mid:catullus.14:17	nam si luxerit ad librariorum
urn:cts:mid:catullus.14:18	curram scrinia, Caesios, Aquinos,
urn:cts:mid:catullus.14:19	Suffenum, omnia colligam venena.
urn:cts:mid:catullus.14:20	ac te his suppliciis remunerabor.
urn:cts:mid:catullus.14:21	vos hinc interea valete abite
urn:cts:mid:catullus.14:22	illuc, unde malum pedem attulistis,
urn:cts:mid:catullus.14:23	saecli incommoda, pessimi poetae.
