urn:cts:mid:catullus.23:1	Furi cui neque servus est neque arca
urn:cts:mid:catullus.23:2	nec cimex neque araneus neque ignis,
urn:cts:mid:catullus.23:3	verum est et pater et noverca, quorum
urn:cts:mid:catullus.23:4	dentes vel silicem comesse possunt,
urn:cts:mid:catullus.23:5	est pulcre tibi cum tuo parente
urn:cts:mid:catullus.23:6	et cum coniuge lignea parentis.
urn:cts:mid:catullus.23:7	nec mirum: bene nam valetis omnes,
urn:cts:mid:catullus.23:8	pulcre concoquitis, nihil timetis,
urn:cts:mid:catullus.23:9	non incendia, non graves rvinas,
urn:cts:mid:catullus.23:10	non facta impia, non dolos veneni,
urn:cts:mid:catullus.23:11	non casus alios periculorum.
urn:cts:mid:catullus.23:12	atque corpora sicciora cornu
urn:cts:mid:catullus.23:13	aut siquid magis aridum est habetis
urn:cts:mid:catullus.23:14	sole et frigore et esuritione.
urn:cts:mid:catullus.23:15	quare non tibi sit bene ac beate?
urn:cts:mid:catullus.23:16	a te sudor abest, abest saliva,
urn:cts:mid:catullus.23:17	mucusque et mala pituita nasi.
urn:cts:mid:catullus.23:18	hanc ad munditiem adde mundiorem,
urn:cts:mid:catullus.23:19	quod culus tibi purior salillo est,
urn:cts:mid:catullus.23:20	nec toto decies cacas in anno;
urn:cts:mid:catullus.23:21	atque id durius est faba et lapillis.
urn:cts:mid:catullus.23:22	quod tu si manibus teras fricesque,
urn:cts:mid:catullus.23:23	non umquam digitum inquinare posses
urn:cts:mid:catullus.23:24	haec tu commoda tam beata, Furi,
urn:cts:mid:catullus.23:25	noli spernere nec putare parvi,
urn:cts:mid:catullus.23:26	et sestertia quae soles precari
urn:cts:mid:catullus.23:27	centum desine: nam sat es beatus.
