urn:cts:mid:catullus.12:1	Marrucine Asini, manu sinistra
urn:cts:mid:catullus.12:2	non belle uteris: in ioco atque vino
urn:cts:mid:catullus.12:3	tollis lintea neglegentiorum.
urn:cts:mid:catullus.12:4	hoc salsum esse putas? fugit te, inepte:
urn:cts:mid:catullus.12:5	quamvis sordida res et invenusta est.
urn:cts:mid:catullus.12:6	non credis mihi? crede Pollioni
urn:cts:mid:catullus.12:7	fratri, qui tua furta vel talento
urn:cts:mid:catullus.12:8	mutari velit: est enim leporum
urn:cts:mid:catullus.12:9	differtus puer ac facetiarum.
urn:cts:mid:catullus.12:10	quare aut hendecasyllabos trecentos
urn:cts:mid:catullus.12:11	exspecta, aut mihi linteum remitte,
urn:cts:mid:catullus.12:12	quod me non movet aestimatione,
urn:cts:mid:catullus.12:13	verum est mnemosynum mei sodalis.
urn:cts:mid:catullus.12:14	nam sudaria Saetaba ex Hiberis
urn:cts:mid:catullus.12:15	miserunt mihi muneri Fabullus
urn:cts:mid:catullus.12:16	et Veranius: haec amem necesse est
urn:cts:mid:catullus.12:17	ut Veraniolum meum et Fabullum.
