urn:cts:mid:catullus.101:1	Multas per gentes et multa per aequora vectus
urn:cts:mid:catullus.101:2	     advenio has miseras, frater, ad inferias,
urn:cts:mid:catullus.101:3	ut te postremo donarem munere mortis
urn:cts:mid:catullus.101:4	     et mutam nequiquam alloquerer cinerem.
urn:cts:mid:catullus.101:5	quandoquidem fortuna mihi tete abstulit ipsum.
urn:cts:mid:catullus.101:6	     heu miser indigne frater adempte mihi,
urn:cts:mid:catullus.101:7	nunc tamen interea haec, prisco quae more parentum
urn:cts:mid:catullus.101:8	     tradita sunt tristi munere ad inferias,
urn:cts:mid:catullus.101:9	accipe fraterno multum manantia fletu,
urn:cts:mid:catullus.101:10	     atque in perpetuum, frater, ave atque vale.
