urn:cts:mid:catullus.107:1	Si quicquam cupido optantique optigit umquam
urn:cts:mid:catullus.107:2	     insperanti, hoc est gratum animo proprie.
urn:cts:mid:catullus.107:3	quare hoc est gratum nobis quoque carius auro
urn:cts:mid:catullus.107:4	     quod te restituis, Lesbia, mi cupido.
urn:cts:mid:catullus.107:5	restituis cupido atque insperanti, ipsa refers te
urn:cts:mid:catullus.107:6	     nobis. o lucem candidiore nota!
urn:cts:mid:catullus.107:7	quis me uno vivit felicior aut magis hac est
urn:cts:mid:catullus.107:8	     optandus vita dicere quis poterit?
