urn:cts:mid:catullus.62:1	Vesper adest, iuvenes, consurgite: Vesper Olympo
urn:cts:mid:catullus.62:2	exspectata diu vix tandem lumina tollit.
urn:cts:mid:catullus.62:3	surgere iam tempus, iam pinguis linquere mensas,
urn:cts:mid:catullus.62:4	iam veniet virgo, iam dicetur hymenaeus.
urn:cts:mid:catullus.62:5	Hymen o Hymenaee, Hymen ades o Hymenaee!
urn:cts:mid:catullus.62:6	Cernitis, innuptae, iuvenes? consurgite contra;
urn:cts:mid:catullus.62:7	nimirum Oetaeos ostendit Noctifer ignes.
urn:cts:mid:catullus.62:8	sic certest; viden ut perniciter exsiluere?
urn:cts:mid:catullus.62:9	non temere exsiluere, canent quod vincere par est.
urn:cts:mid:catullus.62:10	Hymen o Hymenaee, Hymen ades o Hymenaee!
urn:cts:mid:catullus.62:11	non facilis nobis, aequales, palma parata est:
urn:cts:mid:catullus.62:12	aspicite, innuptae secum ut meditata requirunt.
urn:cts:mid:catullus.62:13	non frustra meditantur: habent memorabile quod sit;
urn:cts:mid:catullus.62:14	nec mirum, penitus quae tota mente laborant.
urn:cts:mid:catullus.62:15	nos alio mentes, alio divisimus aures;
urn:cts:mid:catullus.62:16	iure igitur vincemur: amat victoria curam.
urn:cts:mid:catullus.62:17	quare nunc animos saltem convertite vestros;
urn:cts:mid:catullus.62:18	dicere iam incipient, iam respondere decebit.
urn:cts:mid:catullus.62:19	Hymen o Hymenaee, Hymen ades o Hymenaee!
urn:cts:mid:catullus.62:20	Hespere, quis caelo fertur crudelior ignis?
urn:cts:mid:catullus.62:21	qui natam possis complexu avellere matris,
urn:cts:mid:catullus.62:22	complexu matris retinentem avellere natam,
urn:cts:mid:catullus.62:23	et iuveni ardenti castam donare puellam.
urn:cts:mid:catullus.62:24	quid faciunt hostes capta crudelius urbe?
urn:cts:mid:catullus.62:25	Hymen o Hymenaee, Hymen ades o Hymenaee!
urn:cts:mid:catullus.62:26	Hespere, quis caelo lucet iucundior ignis?
urn:cts:mid:catullus.62:27	qui desponsa tua firmes conubia flamma,
urn:cts:mid:catullus.62:28	quae pepigere viri, pepigerunt ante parentes,
urn:cts:mid:catullus.62:29	nec iunxere prius quam se tuus extulit ardor.
urn:cts:mid:catullus.62:30	quid datur a divis felici optatius hora?
urn:cts:mid:catullus.62:31	Hymen o Hymenaee, Hymen ades o Hymenaee!
urn:cts:mid:catullus.62:32	Hesperus e nobis, aequales, abstulit unam.
urn:cts:mid:catullus.62:33	* * * * * * * * 
urn:cts:mid:catullus.62:34	* * * * * * * * 
urn:cts:mid:catullus.62:35	namque tuo adventu vigilat custodia semper,
urn:cts:mid:catullus.62:36	nocte latent fures, quos idem saepe reuertens,
urn:cts:mid:catullus.62:37	Hespere, mutato comprendis nomine Eous
urn:cts:mid:catullus.62:38	at lubet innuptis ficto te carpere questu.
urn:cts:mid:catullus.62:39	quid tum, si carpunt, tacita quem mente requirunt?
urn:cts:mid:catullus.62:40	Hymen o Hymenaee, Hymen ades o Hymenaee!
urn:cts:mid:catullus.62:41	Ut flos in saeptis secretus nascitur hortis,
urn:cts:mid:catullus.62:42	ignotus pecori, nullo convolsus aratro,
urn:cts:mid:catullus.62:43	quem mulcent aurae, firmat sol, educat imber;
urn:cts:mid:catullus.62:44	multi illum pueri, multae optavere puellae:
urn:cts:mid:catullus.62:45	idem cum tenui carptus defloruit ungui,
urn:cts:mid:catullus.62:46	nulli illum pueri, nullae optavere puellae:
urn:cts:mid:catullus.62:47	sic virgo, dum intacta manet, dum cara suis est;
urn:cts:mid:catullus.62:48	cum castum amisit polluto corpore florem,
urn:cts:mid:catullus.62:49	nec pueris iucunda manet, nec cara puellis.
urn:cts:mid:catullus.62:50	Hymen o Hymenaee, Hymen ades o Hymenaee!
urn:cts:mid:catullus.62:51	Ut vidua in nudo vitis quae nascitur aruo,
urn:cts:mid:catullus.62:52	numquam se extollit, numquam mitem educat uvam,
urn:cts:mid:catullus.62:53	sed tenerum prono deflectens pondere corpus
urn:cts:mid:catullus.62:54	iam iam contingit summum radice flagellum;
urn:cts:mid:catullus.62:55	hanc nulli agricolae, nulli coluere iuvenci:
urn:cts:mid:catullus.62:56	at si forte eadem est ulmo coniuncta marito,
urn:cts:mid:catullus.62:57	multi illam agricolae, multi coluere iuvenci:
urn:cts:mid:catullus.62:58	sic virgo dum intacta manet, dum inculta senescit;
urn:cts:mid:catullus.62:59	cum par conubium maturo tempore adepta est,
urn:cts:mid:catullus.62:60	cara viro magis et minus est invisa parenti.
urn:cts:mid:catullus.62:61	Hymen o Hymenaee, Hymen ades o Hymenaee!
urn:cts:mid:catullus.62:62	Et tu ne pugna cum tali coniuge virgo.
urn:cts:mid:catullus.62:63	non aequom est pugnare, pater cui tradidit ipse,
urn:cts:mid:catullus.62:64	ipse pater cum matre, quibus parere necesse est.
urn:cts:mid:catullus.62:65	virginitas non tota tua est, ex parte parentum est,
urn:cts:mid:catullus.62:66	tertia pars patrest, pars est data tertia matri,
urn:cts:mid:catullus.62:67	tertia sola tua est: noli pugnare duobus,
urn:cts:mid:catullus.62:68	qui genero suo iura simul cum dote dederunt.
urn:cts:mid:catullus.62:69	Hymen o Hymenaee, Hymen ades o Hymenaee!
