urn:cts:mid:catullus.016:1	Pedicabo ego vos et irrumabo,
urn:cts:mid:catullus.016:2	Aureli pathice et cinaede Furi,
urn:cts:mid:catullus.016:3	qui me ex versiculis meis putastis,
urn:cts:mid:catullus.016:4	quod sunt molliculi, parum pudicum.
urn:cts:mid:catullus.016:5	nam castum esse decet pium poetam
urn:cts:mid:catullus.016:6	ipsum, versiculos nihil necesse est;
urn:cts:mid:catullus.016:7	qui tum denique habent salem ac leporem,
urn:cts:mid:catullus.016:8	si sunt molliculi ac parum pudici,
urn:cts:mid:catullus.016:9	et quod pruriat incitare possunt,
urn:cts:mid:catullus.016:10	non dico pueris, sed his pilosis
urn:cts:mid:catullus.016:11	qui duros nequeunt movere lumbos.
urn:cts:mid:catullus.016:12	vos, quod milia multa basiorum
urn:cts:mid:catullus.016:13	legistis, male me marem putatis?
urn:cts:mid:catullus.016:14	pedicabo ego vos et irrumabo.
