urn:cts:mid:catullus.030:1	Alfene immemor atque unanimis false sodalibus,
urn:cts:mid:catullus.030:2	iam te nil miseret, dure, tui dulcis amiculi?
urn:cts:mid:catullus.030:3	iam me prodere, iam non dubitas fallere, perfide?
urn:cts:mid:catullus.030:4	nec facta impia fallacum hominum caelicolis placent.
urn:cts:mid:catullus.030:5	quae tu neglegis ac me miserum deseris in malis.
urn:cts:mid:catullus.030:6	eheu quid faciant, dic, homines cuive habeant fidem?
urn:cts:mid:catullus.030:7	certe tute iubebas animam tradere, inique, me
urn:cts:mid:catullus.030:8	inducens in amorem, quasi tuta omnia mi forent.
urn:cts:mid:catullus.030:9	idem nunc retrahis te ac tua dicta omnia factaque
urn:cts:mid:catullus.030:10	ventos irrita ferre ac nebulas aereas sinis.
urn:cts:mid:catullus.030:11	si tu oblitus es, at di meminerunt, meminit Fides,
urn:cts:mid:catullus.030:12	quae te ut paeniteat postmodo facti faciet tui.
