urn:cts:mid:catullus.033:1	O Furum optime balneariorum
urn:cts:mid:catullus.033:2	Vibenni pater et cinaede fili
urn:cts:mid:catullus.033:3	(nam dextra pater inquinatiore,
urn:cts:mid:catullus.033:4	culo filius est voraciore),
urn:cts:mid:catullus.033:5	cur non exilium malasque in oras
urn:cts:mid:catullus.033:6	itis? quandoquidem patris rapinae
urn:cts:mid:catullus.033:7	notae sunt populo, et natis pilosas,
urn:cts:mid:catullus.033:8	fili, non potes asse venditare.
