urn:cts:mid:catullus.13:1	Cenabis bene, mi Fabulle, apud me
urn:cts:mid:catullus.13:2	paucis, si tibi di favent, diebus,
urn:cts:mid:catullus.13:3	si tecum attuleris bonam atque magnam
urn:cts:mid:catullus.13:4	cenam, non sine candida puella
urn:cts:mid:catullus.13:5	et vino et sale et omnibus cachinnis.
urn:cts:mid:catullus.13:6	haec si, inquam, attuleris, venuste noster,
urn:cts:mid:catullus.13:7	cenabis bene; nam tui Catulli
urn:cts:mid:catullus.13:8	plenus sacculus est aranearum.
urn:cts:mid:catullus.13:9	sed contra accipies meros amores
urn:cts:mid:catullus.13:10	seu quid suavius elegantiusve est:
urn:cts:mid:catullus.13:11	nam unguentum dabo, quod meae puellae
urn:cts:mid:catullus.13:12	donarunt Veneres Cupidinesque,
urn:cts:mid:catullus.13:13	quod tu cum olfacies, deos rogabis,
urn:cts:mid:catullus.13:14	totum ut te faciant, Fabulle, nasum.
